License,unknown,LGPL-3.0,LGPL-3.0-or-later,
unknown,-,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK
LGPL-3.0,UNK,-,0,1,0,0,0,1,1,0,0,0,0,0,0
LGPL-3.0-or-later,UNK,1,-,1,0,0,0,1,1,1,0,0,0,0,0
